song_id,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
223,-0.8044459,0.032514468,-0.29614237,-0.27991274,-1.6202401,1.3311484,0.1433048,0.3010913,-0.071494624,-0.88124967,-1.8427658,-3.379363,-2.2027388,-2.1982627,-0.24672472,0.13849789
237,0.96762073,1.4845245,-0.7904762,-1.0174278,-0.10892509,-1.8506702,0.5251451,-1.0571849,-1.3248547,0.41369462,1.2262783,0.005612774,0.81848663,-0.92326814,-1.4967799,-1.2773606
551,-1.8475279,-0.38777918,0.042586684,-0.7274488,0.07915017,-1.0617439,0.55626845,0.81389296,-1.0354942,-1.0493324,0.7095536,0.51639885,-0.6712384,-0.27000448,0.18842411,-0.3473786
579,0.054486096,0.22248623,0.41095582,0.0616824,-2.06512,-0.75874174,0.88715816,1.030474,1.9153982,0.20419753,-0.8019079,-0.0885382,0.44941166,1.0979468,1.2863361,0.64479387
1953,-1.744879,-0.6992733,-0.2960048,0.675328,0.038326696,0.64571124,0.87000346,0.33605292,-0.07089448,-2.1374211,-0.15938127,0.032942623,-0.15075211,0.27159658,-0.2099467,-0.51951814
1947,1.1984553,-0.59840256,-2.363689,1.052718,0.18463951,-0.8784135,-1.2218586,-0.4633765,2.2710383,-0.77424306,0.32022226,1.3677108,-0.7445829,0.55269235,-0.8440304,0.17110354
586,-1.1875238,-0.08013097,-0.452212,0.5370217,0.22221994,-0.15803221,0.07667822,1.4132313,-0.55105203,0.554206,-0.67241234,-0.80676836,0.71011204,2.1570241,0.10585888,1.1496546
1012,-1.3973441,-2.6861768,-0.19093277,-0.26368022,0.37087804,0.18857771,1.7019262,2.3956656,-0.59005594,0.90900743,0.4400761,1.5417986,0.4551138,1.1413656,0.89700675,-0.8205138
1774,0.33112884,-1.9914734,-0.9364788,0.6280465,1.4002776,-0.5089405,-1.3403343,-0.84977764,-0.34678385,-0.21573278,1.089056,1.2022437,-0.6474616,0.07592566,1.1961188,-1.4190662
1760,2.1069672,2.2919939,0.14037484,0.46967494,0.503911,-0.034444034,0.01887238,-1.6012207,0.75555944,0.6348813,-1.3940988,-0.35143098,-1.1361779,-0.4298708,0.9988434,0.76088566
1006,-0.44308507,-0.56119496,0.2275767,0.08911357,1.0018514,-1.8367194,-1.0888234,-1.2602082,-1.9949334,0.97456956,1.9287636,-0.07504007,-1.0724704,1.0260566,1.0491368,-1.0472646
592,0.064659655,2.279677,1.9163544,-0.35706043,-0.1394665,0.23144844,-0.07231043,0.16885802,-0.3787405,-0.84776205,-0.48372865,0.37050223,-0.7049353,0.92098314,-0.11676976,-1.2097559
1990,0.5644908,-1.2984568,-1.9247506,-0.27180347,-0.4156065,1.248603,0.96060264,-1.1132663,0.8208974,0.1306218,-0.85082746,-1.1874238,0.5071827,0.22234008,-0.5391488,0.99729013
1748,0.57624835,-2.432864,0.41887486,0.34023023,1.2267107,0.35154304,0.71260244,-1.327329,-0.8607149,0.5790248,-0.5215137,-0.18533573,-0.95412946,0.9691446,0.6819334,-0.29416305
